abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,fuelType,price
control,kleinwagen,1997,manuell,54,,150000,,350
test,limousine,1994,manuell,75,escort,100000,benzin,600
test,kombi,2005,manuell,150,c_klasse,150000,diesel,3300
test,kombi,1997,automatik,122,forester,150000,benzin,1600
test,suv,2005,manuell,185,xc_reihe,150000,diesel,8000
control,bus,2001,manuell,87,andere,150000,diesel,1800
control,kleinwagen,2009,manuell,82,fiesta,60000,benzin,6800
test,bus,2004,manuell,113,scenic,150000,benzin,2990
control,limousine,1995,manuell,113,e_klasse,150000,diesel,1
test,limousine,2003,manuell,0,a4,150000,diesel,2400
control,limousine,1984,automatik,180,andere,150000,benzin,1222
control,,2000,,60,ka,150000,,250
test,kleinwagen,2013,manuell,86,a1,60000,benzin,14500
test,,2009,,0,insignia,150000,,8390
test,limousine,2003,manuell,131,passat,150000,diesel,3850
control,limousine,2013,automatik,143,3er,40000,diesel,23490
test,bus,2008,manuell,84,transporter,150000,,6450
test,kleinwagen,1999,automatik,102,a_klasse,125000,benzin,1700
test,bus,2008,manuell,0,combo,150000,diesel,4290
control,kombi,2006,manuell,109,focus,150000,diesel,1500
control,limousine,1995,manuell,101,a4,150000,benzin,499
control,coupe,2012,automatik,303,andere,50000,benzin,22999
test,limousine,2004,manuell,163,a4,150000,diesel,6500
test,kombi,1999,manuell,125,c_klasse,150000,diesel,900
test,limousine,1997,automatik,102,3er,150000,benzin,650
test,cabrio,1992,manuell,105,escort,150000,,300
test,coupe,1999,manuell,224,tt,150000,benzin,3399
control,kombi,1997,manuell,101,passat,150000,benzin,1300
test,,1995,manuell,90,civic,150000,benzin,900
control,limousine,2009,automatik,235,5er,100000,diesel,7300
test,cabrio,2006,manuell,200,astra,125000,benzin,8599
test,kleinwagen,1998,,0,corsa,150000,benzin,350
test,,2017,manuell,0,golf,5000,benzin,0
control,kombi,2005,automatik,178,a6,150000,diesel,5900
test,limousine,2002,manuell,265,golf,150000,benzin,6300
control,coupe,1991,manuell,160,andere,150000,benzin,3500
test,kleinwagen,1999,,0,,5000,benzin,0
test,limousine,2006,manuell,163,3er,150000,diesel,5950
control,kleinwagen,2003,manuell,77,jazz,150000,benzin,1699
test,bus,1996,manuell,110,transporter,150000,benzin,4699
control,limousine,2000,manuell,144,omega,150000,,400
control,kleinwagen,2010,manuell,86,polo,40000,benzin,9290
control,limousine,2003,manuell,120,slk,150000,benzin,7000
test,kleinwagen,2000,manuell,60,twingo,150000,benzin,1199
test,limousine,2002,manuell,75,focus,125000,benzin,1750
test,limousine,1990,manuell,54,golf,150000,benzin,1000
control,limousine,1995,automatik,286,7er,150000,benzin,1800
control,,2009,manuell,0,golf,100000,benzin,8000
control,bus,2003,manuell,75,combo,150000,diesel,1100
test,kombi,2001,automatik,170,e_klasse,150000,diesel,2990
control,kleinwagen,2000,manuell,54,corsa,150000,benzin,300
test,,2000,,0,3er,150000,,3390
test,kombi,2001,manuell,131,passat,150000,diesel,2750
control,kombi,2012,manuell,75,fabia,100000,diesel,6990
test,cabrio,1996,manuell,116,80,150000,benzin,4800
control,limousine,2007,automatik,170,c_klasse,125000,diesel,14499
control,limousine,1992,manuell,136,,150000,,1450
test,limousine,2005,manuell,90,golf,150000,diesel,4300
test,limousine,2003,manuell,110,civic,150000,benzin,2499
test,limousine,2007,manuell,120,147,150000,diesel,3450
test,limousine,1996,manuell,122,c_klasse,150000,benzin,350
control,kombi,2000,automatik,184,5er,150000,diesel,3550
test,bus,2010,manuell,109,c_max,125000,diesel,8250
test,kleinwagen,1998,manuell,54,clio,150000,benzin,800
test,kombi,1996,manuell,126,a4,150000,,1500
control,suv,2014,automatik,204,glk,40000,diesel,41900
control,kombi,2003,automatik,204,3er,150000,diesel,4200
control,,1985,,0,100,150000,benzin,150
test,kleinwagen,1996,manuell,75,golf,150000,benzin,1000
control,,2005,manuell,0,punto,40000,,300
control,limousine,2004,manuell,88,3_reihe,150000,benzin,800
control,limousine,2000,manuell,160,c_klasse,150000,benzin,2300
test,kombi,2003,automatik,163,a6,150000,diesel,4000
control,kleinwagen,2009,,60,,20000,benzin,6799
test,bus,2004,manuell,101,meriva,150000,lpg,0
control,cabrio,2004,manuell,170,z_reihe,150000,benzin,9450
test,,2006,,0,andere,5000,,0
control,,2017,manuell,136,sportage,125000,diesel,14500
control,limousine,2003,manuell,170,c_klasse,125000,diesel,6890
test,suv,2007,automatik,194,sorento,5000,benzin,7500
control,limousine,1993,manuell,0,golf,10000,benzin,800
test,kleinwagen,2002,manuell,140,a_klasse,150000,,1499
control,kleinwagen,1999,manuell,0,,150000,benzin,500
control,kombi,2001,,64,,150000,diesel,1495
test,kleinwagen,1994,manuell,0,andere,150000,benzin,300
control,,2018,manuell,75,astra,150000,,1200
test,limousine,1989,manuell,69,golf,125000,benzin,850
test,bus,2007,manuell,131,transporter,150000,diesel,8500
test,kombi,1998,manuell,0,v40,150000,benzin,300
test,limousine,2000,manuell,75,civic,125000,benzin,1500
control,limousine,1995,manuell,115,5er,150000,benzin,950
test,kleinwagen,2004,manuell,64,ibiza,80000,benzin,3200
test,bus,2011,manuell,116,c_max,150000,diesel,11890
test,coupe,2000,automatik,170,3er,150000,benzin,2900
test,cabrio,2006,manuell,305,mustang,50000,benzin,19750
test,cabrio,2006,manuell,150,eos,60000,benzin,9800
control,kleinwagen,2003,manuell,80,fiesta,125000,benzin,1990
control,bus,2006,automatik,150,vito,150000,diesel,10500
test,limousine,2012,manuell,131,astra,70000,diesel,11000
control,bus,1997,manuell,0,andere,150000,benzin,300
test,kombi,2000,automatik,197,e_klasse,150000,diesel,2390
control,kombi,2015,automatik,110,fabia,10000,benzin,16449
test,kombi,2001,manuell,0,3er,150000,benzin,2999
control,,2016,automatik,75,fabia,150000,benzin,3000
test,limousine,2011,manuell,120,a4,60000,benzin,14300
test,kleinwagen,2009,manuell,80,polo,125000,benzin,5999
test,kombi,2003,automatik,179,a6,150000,diesel,3700
test,bus,2007,manuell,105,touran,90000,diesel,8999
test,limousine,2008,,235,,150000,,14000
control,coupe,1968,automatik,305,mustang,90000,benzin,25000
control,limousine,1992,manuell,90,80,80000,benzin,2790
control,limousine,2008,manuell,170,3er,100000,benzin,13400
test,bus,2006,manuell,102,golf,150000,benzin,4900
control,limousine,2006,automatik,250,golf,150000,benzin,11299
control,andere,1997,manuell,75,golf,150000,benzin,550
control,kleinwagen,2006,manuell,88,getz,150000,diesel,1400
test,coupe,1990,manuell,45,,150000,benzin,1200
control,kombi,2011,manuell,131,insignia,150000,diesel,9500
test,kombi,1999,manuell,90,golf,150000,diesel,1800
control,,2018,manuell,75,twingo,125000,,2800
control,kombi,2006,,0,a3,150000,diesel,3200
test,kleinwagen,2002,manuell,60,ka,150000,benzin,1350
test,kombi,2006,automatik,231,5er,150000,diesel,11000
test,,2016,manuell,110,almera,150000,diesel,1999
control,cabrio,2006,manuell,163,megane,100000,benzin,6900
test,limousine,1996,automatik,0,7er,150000,benzin,1600
control,kombi,2008,automatik,179,a6,150000,diesel,12999
test,kombi,2011,automatik,313,5er,150000,diesel,18400
test,limousine,1995,manuell,75,andere,150000,benzin,999
test,kombi,2009,automatik,140,a3,150000,diesel,12899
control,limousine,2010,manuell,143,3er,150000,diesel,10500
control,kleinwagen,2001,,41,fortwo,150000,diesel,2250
test,limousine,2010,manuell,80,golf,50000,benzin,8500
test,limousine,2007,manuell,265,1er,150000,benzin,14900
control,kleinwagen,1994,manuell,75,golf,150000,benzin,500
test,kleinwagen,2002,manuell,45,lupo,150000,benzin,1200
control,limousine,1996,manuell,125,a3,150000,benzin,1250
test,kleinwagen,1992,manuell,54,polo,125000,benzin,370
test,kombi,1999,manuell,165,a6,150000,,1000
control,limousine,1993,manuell,88,r19,150000,benzin,350
control,coupe,2007,manuell,197,3er,150000,diesel,8600
test,,2017,manuell,0,zafira,150000,diesel,2100
test,cabrio,1991,manuell,98,golf,150000,benzin,2222
control,,1985,manuell,54,caddy,150000,diesel,850
test,limousine,2005,automatik,218,3er,150000,benzin,11800
control,bus,2008,manuell,115,c_max,125000,diesel,4000
test,kombi,2005,automatik,150,c_klasse,150000,diesel,4650
test,kleinwagen,1999,manuell,75,2_reihe,150000,benzin,1450
test,,2017,manuell,60,corsa,150000,benzin,900
control,kombi,2002,manuell,115,mondeo,150000,diesel,800
test,kombi,2000,manuell,90,cordoba,150000,,1600
control,limousine,2004,manuell,75,golf,100000,benzin,2800
control,kombi,2004,manuell,122,c_klasse,150000,diesel,5499
control,limousine,2000,manuell,170,3er,150000,benzin,5500
test,kombi,2001,manuell,115,mondeo,150000,,0
control,suv,1982,manuell,41,andere,150000,benzin,1000
control,kombi,2013,manuell,150,a4,50000,diesel,22290
control,,2005,,75,golf,150000,,3750
control,bus,2003,manuell,109,andere,150000,diesel,1440
control,kleinwagen,2000,manuell,75,clio,150000,benzin,1150
test,limousine,2011,manuell,170,golf,90000,diesel,15700
control,coupe,1995,manuell,102,3er,150000,benzin,899
test,kombi,1998,,0,e_klasse,150000,,130
test,kombi,2006,manuell,150,3er,150000,benzin,9200
test,bus,2000,manuell,130,sprinter,150000,diesel,3350
control,kleinwagen,2006,manuell,75,clio,125000,benzin,2700
test,bus,2001,automatik,114,andere,150000,benzin,800
control,coupe,2008,manuell,0,andere,90000,benzin,10200
control,limousine,2008,automatik,140,a6,150000,diesel,9800
control,limousine,2012,automatik,211,golf,60000,benzin,14700
control,limousine,1997,manuell,101,golf,150000,benzin,1200
test,limousine,1995,manuell,75,colt,70000,benzin,895
test,kleinwagen,1995,manuell,54,polo,150000,benzin,950
test,limousine,2006,manuell,177,impreza,150000,,8000
test,limousine,2002,automatik,286,5er,150000,lpg,6799
control,kleinwagen,1999,manuell,56,corsa,150000,benzin,500
test,kleinwagen,2012,automatik,90,polo,30000,benzin,11919
test,coupe,2009,manuell,265,andere,125000,benzin,25900
control,kleinwagen,1993,manuell,90,golf,150000,benzin,300
control,kleinwagen,2010,manuell,105,a1,125000,diesel,10800
test,limousine,2002,manuell,101,vectra,150000,benzin,650
test,kombi,2000,manuell,118,3er,150000,benzin,800
test,kleinwagen,2001,manuell,75,lupo,150000,diesel,1690
test,cabrio,2004,manuell,113,megane,150000,benzin,3650
test,bus,2009,manuell,75,berlingo,80000,diesel,4850
control,,2016,manuell,0,,150000,benzin,450
control,limousine,1999,manuell,0,c_klasse,5000,,1450
control,kombi,2007,manuell,140,passat,150000,diesel,4500
control,kombi,2003,manuell,131,passat,150000,benzin,3900
test,bus,2013,automatik,140,transporter,80000,diesel,26999
control,kombi,2000,manuell,101,passat,150000,benzin,750
test,limousine,1999,automatik,184,7er,150000,diesel,5900
control,limousine,2015,automatik,326,a6,5000,diesel,56900
control,limousine,2000,manuell,116,golf,150000,benzin,1100
test,coupe,2014,automatik,265,andere,80000,diesel,48000
control,kleinwagen,2009,manuell,201,clio,70000,benzin,8400
test,limousine,1990,manuell,90,80,70000,benzin,1
test,limousine,1998,manuell,75,golf,150000,benzin,800
test,suv,2009,automatik,224,m_klasse,150000,diesel,27500
test,bus,2009,manuell,140,touran,70000,benzin,14950
control,cabrio,2004,manuell,170,z_reihe,70000,benzin,14900
control,limousine,1998,automatik,235,5er,150000,benzin,2950
control,coupe,1994,manuell,116,,150000,,1500
control,suv,2011,manuell,101,tiguan,150000,diesel,12000
control,kombi,2001,automatik,150,c_klasse,150000,diesel,2500
test,cabrio,2001,,115,golf,150000,benzin,2400
test,,2017,manuell,109,i_reihe,125000,benzin,4600
test,coupe,1995,manuell,286,andere,150000,benzin,6000
control,kleinwagen,2012,manuell,95,fiesta,60000,diesel,8950
control,limousine,1996,manuell,0,corsa,150000,,590
test,,2016,automatik,75,fiesta,50000,benzin,150
test,coupe,2009,automatik,213,mustang,80000,benzin,18700
test,limousine,2012,manuell,69,polo,50000,benzin,9500
control,coupe,2009,automatik,140,passat,125000,diesel,11550
control,,2017,,0,espace,150000,benzin,1250
test,limousine,1989,manuell,102,3er,150000,benzin,2400
test,suv,2011,manuell,150,tiguan,30000,benzin,16150
control,bus,2000,manuell,0,sharan,150000,diesel,3400
test,coupe,2000,manuell,179,tt,150000,benzin,3000
test,limousine,2004,manuell,90,golf,150000,diesel,5500
test,limousine,2004,manuell,122,6_reihe,5000,diesel,2000
control,kleinwagen,1998,manuell,58,twingo,125000,,300
control,limousine,2000,manuell,107,megane,150000,benzin,890
test,,2016,,83,jazz,150000,benzin,2390
control,,2017,,0,a_klasse,150000,benzin,1450
control,limousine,1999,,75,astra,150000,benzin,1699
test,bus,1996,manuell,69,andere,150000,diesel,2899
test,limousine,2004,manuell,75,golf,80000,benzin,4800
test,limousine,2008,manuell,174,3_reihe,90000,benzin,6799
test,bus,2003,manuell,100,touran,150000,diesel,3400
test,limousine,2004,manuell,125,astra,150000,benzin,2650
test,kleinwagen,1999,manuell,107,clio,150000,benzin,1000
test,coupe,1997,manuell,125,a3,150000,benzin,800
test,cabrio,2002,manuell,220,a4,150000,benzin,5299
test,limousine,2002,manuell,150,e_klasse,150000,diesel,7150
control,,2009,,0,,10000,,200
control,coupe,2006,manuell,88,c4,150000,benzin,2300
test,kombi,1999,manuell,0,,150000,benzin,1600
test,,2017,,0,corsa,150000,benzin,350
control,bus,2006,manuell,140,golf,150000,diesel,5500
test,kleinwagen,1997,manuell,54,panda,125000,benzin,4400
control,limousine,2008,manuell,140,a3,150000,diesel,7950
test,coupe,2007,manuell,265,z_reihe,150000,benzin,16500
control,cabrio,2004,automatik,170,z_reihe,150000,benzin,8100
control,,2017,manuell,85,transporter,150000,diesel,3999
test,kleinwagen,2013,automatik,75,up,60000,benzin,9750
test,limousine,2009,manuell,185,3_reihe,150000,diesel,7700
control,cabrio,1999,manuell,88,3_reihe,150000,benzin,2500
control,kleinwagen,1999,automatik,54,fortwo,125000,benzin,1195
control,kombi,2014,manuell,73,clio,30000,benzin,9790
control,kleinwagen,1999,manuell,54,clio,90000,benzin,1849
test,kleinwagen,2006,automatik,41,fortwo,125000,diesel,3300
control,kombi,1991,manuell,77,transporter,150000,diesel,650
control,coupe,1998,manuell,170,andere,150000,benzin,2600
control,kombi,2008,manuell,170,andere,150000,diesel,11700
test,bus,1998,manuell,90,scenic,150000,benzin,600
control,kombi,2009,manuell,109,i_reihe,150000,benzin,4950
test,kleinwagen,2003,manuell,50,lupo,150000,benzin,1600
control,cabrio,2006,manuell,150,3er,150000,benzin,8499
control,,2017,manuell,0,seicento,60000,benzin,1650
control,limousine,1999,manuell,101,golf,150000,benzin,1700
control,limousine,2010,manuell,90,ceed,100000,benzin,5750
test,bus,2001,manuell,75,kangoo,150000,benzin,600
control,,2005,,0,polo,150000,benzin,0
test,limousine,2004,automatik,170,5er,150000,benzin,8700
control,kombi,1999,automatik,125,c_klasse,150000,diesel,1200
test,bus,2014,manuell,116,5_reihe,20000,diesel,18880
control,kombi,2008,automatik,177,5er,150000,diesel,11200
test,limousine,1993,manuell,0,andere,125000,benzin,3550
control,kleinwagen,2003,manuell,75,ibiza,125000,benzin,3900
test,limousine,2010,manuell,143,1er,80000,diesel,13849
control,suv,2013,manuell,105,yeti,40000,benzin,13200
control,kombi,2001,manuell,101,fabia,125000,benzin,2500
test,kleinwagen,2006,manuell,54,fabia,150000,benzin,2550
test,kombi,2006,manuell,102,octavia,150000,lpg,3900
test,limousine,2001,manuell,231,3er,150000,benzin,2450
control,kleinwagen,1996,manuell,45,corsa,70000,benzin,500
control,kombi,1998,manuell,90,passat,150000,diesel,750
control,bus,1999,automatik,116,zafira,150000,benzin,1799
control,kleinwagen,1997,manuell,0,golf,150000,,950
control,kleinwagen,2012,manuell,75,mii,60000,benzin,8150
test,coupe,2004,manuell,192,rx_reihe,125000,benzin,3900
test,kleinwagen,2012,manuell,68,,40000,,5500
control,kleinwagen,2014,manuell,90,corsa,20000,benzin,9999
test,,2018,,0,golf,150000,,1050
control,kombi,2001,manuell,131,mondeo,150000,diesel,500
control,limousine,1992,manuell,66,golf,150000,lpg,699
control,cabrio,1994,manuell,115,astra,150000,benzin,999
test,limousine,2003,,299,a6,150000,benzin,6250
control,bus,1976,,0,transporter,5000,benzin,10000
control,kleinwagen,2001,manuell,0,,150000,benzin,300
test,coupe,1983,manuell,218,6er,150000,benzin,16500
control,limousine,2007,manuell,125,focus,125000,andere,6500
test,cabrio,2013,,0,,10000,benzin,49500
control,,2016,manuell,75,modus,150000,benzin,1200
test,cabrio,2000,manuell,74,golf,150000,benzin,1480
control,kleinwagen,2000,manuell,60,punto,100000,benzin,1490
control,kombi,2008,manuell,110,astra,150000,diesel,3200
control,kombi,2003,manuell,163,a6,150000,diesel,3250
test,kleinwagen,2006,manuell,54,fox,70000,benzin,3400
test,kleinwagen,2002,manuell,58,twingo,150000,benzin,1100
test,limousine,2002,manuell,125,vectra,150000,diesel,1750
test,kombi,2006,automatik,140,passat,150000,diesel,3300
test,kleinwagen,2005,manuell,52,matiz,150000,benzin,1350
control,kleinwagen,2012,manuell,69,panda,80000,benzin,8250
test,kleinwagen,2000,manuell,115,beetle,150000,benzin,2500
test,kombi,2004,automatik,163,a6,150000,diesel,3999
test,suv,2007,automatik,510,m_klasse,150000,lpg,21500
test,limousine,2007,manuell,143,1er,150000,benzin,7000
test,bus,2005,manuell,131,andere,150000,diesel,2950
control,kleinwagen,2010,manuell,77,i_reihe,100000,benzin,4850
test,kleinwagen,2000,manuell,60,punto,60000,benzin,1100
control,limousine,2003,manuell,147,vectra,125000,benzin,3600
control,limousine,2009,manuell,80,golf,125000,benzin,7750
test,kleinwagen,2004,manuell,54,polo,90000,benzin,2950
test,,2017,manuell,65,corsa,150000,benzin,400
test,kombi,2007,automatik,150,5er,150000,diesel,6880
control,bus,2008,automatik,140,golf,150000,diesel,5600
test,limousine,2012,automatik,105,golf,60000,benzin,10550
test,limousine,2013,manuell,122,a_klasse,40000,benzin,17500
control,kleinwagen,1999,manuell,60,ibiza,150000,benzin,999
control,,2018,,0,astra,150000,benzin,3400
control,kombi,1998,manuell,115,astra,150000,benzin,2000
test,,2006,,0,c1,5000,andere,2350
control,,2016,manuell,310,astra,150000,,6250
control,limousine,1999,manuell,125,a4,125000,benzin,2700
test,kleinwagen,1995,manuell,45,corsa,150000,benzin,500
control,cabrio,2010,automatik,71,fortwo,90000,benzin,5555
test,limousine,2010,manuell,95,a_klasse,70000,benzin,8450
control,cabrio,2001,manuell,147,astra,150000,benzin,2750
control,kleinwagen,1997,manuell,45,corsa,150000,benzin,650
control,limousine,2000,manuell,75,focus,150000,benzin,680
test,kleinwagen,1995,manuell,45,corsa,150000,benzin,444
test,kleinwagen,2009,manuell,73,2_reihe,70000,benzin,4650
control,kleinwagen,2007,manuell,97,rio,70000,benzin,4450
control,kleinwagen,2003,manuell,65,micra,80000,benzin,1999
control,bus,2011,manuell,110,zafira,100000,diesel,9650
test,limousine,1992,automatik,220,e_klasse,150000,benzin,2700
control,bus,2000,manuell,0,andere,150000,diesel,2200
control,,2000,,75,golf,90000,benzin,1
control,,2016,,0,fox,60000,,4500
test,limousine,2004,automatik,82,a_klasse,125000,benzin,3850
control,suv,2008,automatik,239,touareg,150000,diesel,15500
control,cabrio,1959,automatik,295,andere,90000,benzin,90500
control,andere,2011,manuell,140,,60000,diesel,13950
control,limousine,2002,automatik,193,5er,150000,diesel,3400
control,kleinwagen,2010,automatik,179,ibiza,50000,benzin,11500
test,,1985,,0,3er,150000,,0
test,kombi,2007,manuell,68,logan,150000,diesel,2800
test,kleinwagen,1995,manuell,0,polo,150000,benzin,120
control,limousine,1992,automatik,136,e_klasse,150000,benzin,1490
test,kombi,2000,manuell,75,caddy,150000,diesel,650
control,suv,1992,manuell,80,andere,150000,benzin,1199
test,kombi,1998,manuell,0,6_reihe,150000,benzin,350
control,cabrio,2001,manuell,150,spider,150000,,3200
control,limousine,2004,manuell,203,andere,150000,lpg,4000
control,kombi,2006,manuell,150,megane,125000,diesel,6450
test,kleinwagen,2001,manuell,75,corsa,150000,benzin,1690
test,limousine,2002,automatik,150,passat,150000,diesel,1750
test,limousine,2001,automatik,82,a_klasse,70000,benzin,2990
control,,2016,manuell,75,astra,150000,,1299
test,kombi,2010,automatik,0,a4,150000,benzin,11000
test,kleinwagen,2000,manuell,50,lupo,150000,benzin,1000
test,kleinwagen,2004,automatik,5,,70000,diesel,3950
test,kombi,2000,manuell,144,omega,150000,benzin,650
test,andere,2010,manuell,120,andere,150000,diesel,5500
test,coupe,1998,manuell,75,andere,150000,benzin,1299
control,,2017,manuell,150,,150000,,1300
control,bus,2007,manuell,105,,150000,diesel,5800
test,kombi,2004,automatik,143,c_klasse,150000,benzin,7600
control,kombi,2010,automatik,160,golf,60000,benzin,13499
test,kleinwagen,2007,manuell,58,cuore,150000,benzin,1490
test,limousine,2007,manuell,80,golf,125000,benzin,5500
control,limousine,2003,manuell,143,3er,150000,benzin,2350
control,,2016,manuell,0,c_max,150000,diesel,3000
control,,2017,manuell,0,,150000,benzin,1950
control,bus,2009,automatik,140,s_max,150000,diesel,6350
control,bus,1999,manuell,101,andere,150000,benzin,750
control,limousine,1998,automatik,101,vectra,150000,benzin,1500
test,limousine,2003,manuell,300,a4,150000,benzin,8500
control,kombi,2003,automatik,179,a6,150000,,4300
control,kombi,2001,manuell,103,andere,125000,benzin,850
test,limousine,2009,manuell,95,a_klasse,70000,benzin,6700
control,limousine,2013,manuell,150,a3,50000,diesel,29980
control,kleinwagen,2003,manuell,75,corsa,125000,benzin,2238
test,kleinwagen,1994,manuell,102,3er,150000,benzin,250
test,coupe,1997,manuell,170,3er,150000,benzin,3350
control,bus,2005,manuell,86,modus,150000,diesel,2000
test,kombi,2007,manuell,140,a6,100000,diesel,14500
control,kleinwagen,2002,manuell,75,a2,150000,benzin,4199
control,kleinwagen,2009,manuell,85,ibiza,30000,benzin,6999
test,kleinwagen,2008,manuell,60,polo,100000,benzin,4490
test,limousine,2013,automatik,245,x_reihe,40000,diesel,43900
test,cabrio,2010,manuell,160,a5,90000,benzin,21950
control,kleinwagen,2002,manuell,90,3_reihe,150000,benzin,1200
control,kombi,2004,automatik,150,e_klasse,150000,diesel,8100
control,kombi,2006,manuell,258,5er,150000,benzin,12650
test,kombi,1997,manuell,125,passat,150000,benzin,2400
control,,2017,manuell,84,ibiza,70000,,5250
control,limousine,2009,manuell,160,a3,70000,benzin,14500
control,,2016,manuell,0,2_reihe,150000,benzin,1950
test,,2016,automatik,197,3er,150000,diesel,0
test,coupe,2009,automatik,292,e_klasse,125000,benzin,24900
test,limousine,2007,manuell,90,golf,150000,diesel,4300
control,kleinwagen,2006,,61,fortwo,80000,benzin,2250
test,kombi,2008,manuell,143,a4,125000,diesel,10550
test,kleinwagen,1995,manuell,60,ibiza,150000,benzin,200
control,,1990,,0,3er,5000,,0
control,limousine,2010,manuell,170,a6,150000,benzin,11500
control,kombi,2002,manuell,101,vectra,150000,diesel,890
control,cabrio,2009,automatik,239,a5,150000,diesel,20500
test,limousine,2006,manuell,105,147,150000,benzin,2990
test,kombi,2008,manuell,136,c_klasse,150000,diesel,9600
test,kleinwagen,1995,manuell,45,corsa,30000,benzin,1099
control,limousine,2000,manuell,75,astra,100000,benzin,1700
