Rooms,Price,Bedroom2,Bathroom,Car
4,1100000,4,2,5
3,1255000,3,2,2
4,1483000,,,
2,432000,2,1,1
4,1640000,4,3,2
6,1430000,4,2,1
2,610000,2,1,1
3,940000,3,3,1
3,890000,3,1,1
4,1505000,,,
3,1180000,3,2,2
4,1480000,4,2,2
2,705000,2,2,1
2,442000,2,1,1
2,540000,2,2,1
3,1037500,3,1,2
3,1050000,3,2,2
6,,6,2,3
2,440000,2,1,1
2,1010000,2,1,1
4,1430000,4,2,0
2,570000,2,1,1
2,690000,2,1,1
4,,4,3,4
4,1070000,,,
3,1291000,3,1,2
3,,3,2,2
3,1130000,3,2,1
3,1135000,3,1,1
4,950000,4,2,1
3,790000,3,2,1
3,940000,3,2,2
3,995000,3,2,1
3,1050000,3,1,3
3,786000,3,2,1
2,705000,2,1,3
3,660000,,,
2,760000,2,1,1
3,487500,3,1,3
3,1125000,,,
3,1000000,3,2,2
4,1110000,4,2,1
4,1300000,4,1,4
3,1060000,3,1,1
3,1410000,3,2,2
3,1305000,2,1,1
3,932500,3,2,1
3,965000,3,1,0
3,1215000,3,1,1
2,545000,2,1,2
4,1800000,,,
3,840000,,,
4,1705000,4,2,4
3,970000,2,1,1
2,925000,2,1,1
4,1330000,4,2,2
3,,3,2,1
3,900000,3,2,2
3,1090000,3,2,2
3,962000,,,
3,1290000,3,2,2
3,1290000,3,1,1
3,810000,3,3,2
3,715000,3,2,2
3,790000,3,1,3
3,,,,
3,720000,3,1,1
2,1150000,2,1,1
3,1350000,3,1,3
5,1905000,5,2,2
2,865000,2,2,1
3,,3,1,1
2,390000,2,1,1
4,1345000,4,1,1
1,296000,,,
3,1381500,3,2,2
2,,2,1,2
3,2575000,3,2,1
2,1322500,2,1,0
2,,2,1,1
2,1562500,2,1,0
3,2000000,3,2,1
4,,3,1,0
3,,3,1,2
3,1900000,3,1,0
3,3010000,3,2,0
3,,3,1,0
4,2800000,4,3,1
3,,3,1,0
2,647000,2,1,1
3,,3,2,1
3,2100000,2,1,1
3,,3,2,1
2,,2,2,1
7,,7,7,0
3,2000000,3,1,1
1,442500,1,1,0
4,4735000,4,2,1
2,1340000,2,1,0
3,1801000,3,1,1
3,1532000,3,3,1
3,3755000,3,2,2
4,2140000,3,2,1
2,1810000,,,
2,1750000,2,1,1
2,980000,2,1,0
2,,2,1,0
4,,4,2,0
3,,3,2,1
3,2030000,3,2,0
3,1740000,3,2,2
3,2800000,3,3,1
1,985000,1,1,0
4,,,,
3,1480000,,,
3,2000000,3,3,2
3,1540000,3,1,2
4,,,,
2,590000,,,
2,820000,2,1,1
4,1830000,4,2,2
4,2100000,4,2,2
3,865000,3,1,1
2,390000,2,1,1
2,650000,0,1,0
2,512000,2,1,1
3,1361000,,,
4,,4,2,2
3,1310000,,,
3,570000,,,
3,1165000,3,1,2
2,530000,,,
4,1900000,4,2,2
5,,5,2,2
3,1485000,3,0,0
4,1950000,4,2,3
3,730000,3,2,1
3,916500,,,
3,635000,3,1,4
2,620000,2,1,1
2,447000,2,1,1
3,730000,3,2,1
3,678000,3,1,2
2,580000,2,2,1
3,712000,3,1,2
3,840000,3,2,2
3,980000,3,1,2
4,1000000,,,
3,605100,3,2,0
3,880000,3,3,1
3,577000,3,2,1
4,,4,2,3
4,1030000,4,1,0
3,605000,3,1,2
3,685000,,,
2,,2,1,1
3,753000,3,2,2
2,857000,2,2,1
3,1500000,3,1,1
3,730000,3,2,1
3,900000,3,1,4
3,740000,3,1,2
4,931000,4,2,3
2,535600,2,1,1
3,,,,
2,,,,
3,670000,,,
3,680000,,,
3,765000,,,
3,675000,3,2,2
3,708000,3,1,2
3,656000,,,
4,883000,,,
4,965000,4,1,4
3,870000,,,
3,681000,,,
2,522500,,,
5,972000,,,
3,590000,,,
2,450000,,,
3,765000,,,
3,750000,,,
3,680000,3,1,3
1,,1,1,1
2,510000,,,
3,770000,3,1,3
3,923000,3,1,2
4,693000,4,2,4
3,620000,5,2,2
3,800000,,,
3,728500,3,1,1
3,931000,3,2,1
3,988000,3,1,4
3,590000,,,
3,590000,3,1,2
2,610000,2,1,2
2,,,,
3,815000,3,2,3
4,970000,4,1,2
4,840000,,,
3,840000,,,
4,760000,4,1,3
3,852500,,,
4,847500,4,3,1
4,1200000,4,1,4
3,630000,,,
3,,,,
3,700000,3,1,1
3,625000,3,1,1
2,292000,2,1,1
3,640000,,,
3,800000,,,
3,,3,2,3
3,,2,2,2
3,,3,2,1
1,390000,1,1,0
3,,3,2,1
3,1800000,3,2,2
4,,,,
4,2200000,4,1,2
4,,,,
1,324000,1,1,1
3,,3,1,2
2,,2,1,1
2,,,,
3,,3,1,4
2,,3,1,2
6,5525000,5,3,4
4,,2,2,2
2,1125000,3,1,2
3,2250000,3,3,1
3,2360000,3,2,0
2,1900000,2,2,0
1,440000,1,1,1
2,,,,
2,,2,1,1
2,490000,2,1,1
3,,3,2,2
3,2365000,3,2,1
3,1300000,2,1,2
2,,2,1,1
3,732000,3,2,2
2,704000,2,1,1
4,,,,
2,,,,
2,620000,3,1,1
3,1900000,3,1,2
3,,3,2,2
3,,2,3,2
2,,2,2,1
1,315000,1,1,1
3,,2,1,0
3,1992000,,,
1,450000,1,1,1
2,710000,2,1,1
2,872000,2,1,1
2,598000,2,1,1
3,,3,2,2
3,1285000,3,1,2
4,3660000,4,3,2
3,,3,1,2
2,,2,1,1
2,520000,1,1,1
4,2760000,,,
4,,,,
2,690000,,,
4,3625000,4,1,2
4,4200000,4,3,3
3,1101000,3,1,2
3,3512500,3,2,2
2,,2,1,1
2,,2,1,2
4,2000000,4,3,4
3,,3,3,1
3,869000,2,1,1
2,577000,,,
3,,3,2,1
2,,2,1,4
3,2865000,,,
5,2810000,5,2,2
2,565000,3,1,1
1,567000,1,1,1
2,546000,2,0,0
2,,3,1,1
2,471500,2,1,1
