Id,carat,price,x,y,z
3122,0.22,337,3.87,3.78,2.49
3123,0.22,337,3.87,3.78,2.49
3124,0.22,337,3.87,3.78,2.49
3125,0.22,337,3.87,3.78,2.49
3126,0.22,337,3.87,3.78,2.49
3127,0.22,337,3.87,3.78,2.49
3128,0.22,337,3.87,3.78,2.49
3129,0.22,337,3.87,3.78,2.49
3130,0.694011,4326.4395,4.9917607,4.922135,3.195699
3131,0.23,338,4,4.05,2.39
3132,0.23,338,4,4.05,2.39
3133,0.23,338,4,4.05,2.39
3134,0.23,338,4,4.05,2.39
3135,0.23,338,4,4.05,2.39
3136,0.23,338,4,4.05,2.39
3137,0.23,338,4,4.05,2.39
3138,0.23,338,4,4.05,2.39
3139,0.23,338,4,4.05,2.39
3140,0.704011,4327.4395,5.121761,5.1921353,3.095699
3141,0.3,339,4.25,4.28,2.73
3142,0.3,339,4.25,4.28,2.73
3143,0.3,339,4.25,4.28,2.73
3144,0.3,339,4.25,4.28,2.73
3145,0.3,339,4.25,4.28,2.73
3146,0.3,339,4.25,4.28,2.73
3147,0.3,339,4.25,4.28,2.73
3148,0.3,339,4.25,4.28,2.73
3149,0.3,339,4.25,4.28,2.73
3150,0.774011,4328.4395,5.371761,5.4221354,3.435699
3151,0.23,340,3.93,3.9,2.46
3152,0.23,340,3.93,3.9,2.46
3153,0.23,340,3.93,3.9,2.46
3154,0.23,340,3.93,3.9,2.46
3155,0.23,340,3.93,3.9,2.46
3156,0.23,340,3.93,3.9,2.46
3157,0.23,340,3.93,3.9,2.46
3158,0.23,340,3.93,3.9,2.46
3159,0.23,340,3.93,3.9,2.46
3160,0.704011,4329.4395,5.051761,5.0421352,3.165699
3161,0.22,342,3.88,3.84,2.33
3162,0.22,342,3.88,3.84,2.33
3163,0.22,342,3.88,3.84,2.33
3164,0.22,342,3.88,3.84,2.33
3165,0.22,342,3.88,3.84,2.33
3166,0.22,342,3.88,3.84,2.33
3167,0.22,342,3.88,3.84,2.33
3168,0.22,342,3.88,3.84,2.33
3169,0.22,342,3.88,3.84,2.33
3170,0.694011,4331.4395,5.001761,4.982135,3.035699
3171,0.31,344,4.35,4.37,2.71
3172,0.31,344,4.35,4.37,2.71
3173,0.31,344,4.35,4.37,2.71
3174,0.31,344,4.35,4.37,2.71
3175,0.31,344,4.35,4.37,2.71
3176,0.31,344,4.35,4.37,2.71
3177,0.31,344,4.35,4.37,2.71
3178,0.31,344,4.35,4.37,2.71
3179,0.31,344,4.35,4.37,2.71
3180,0.784011,4333.4395,5.4717607,5.512135,3.415699
3181,0.2,345,3.79,3.75,2.27
3182,0.2,345,3.79,3.75,2.27
3183,0.2,345,3.79,3.75,2.27
3184,0.2,345,3.79,3.75,2.27
3185,0.2,345,3.79,3.75,2.27
3186,0.2,345,3.79,3.75,2.27
3187,0.2,345,3.79,3.75,2.27
3188,0.2,345,3.79,3.75,2.27
3189,0.2,345,3.79,3.75,2.27
3190,0.674011,4334.4395,4.911761,4.892135,2.975699
3191,0.32,345,4.38,4.42,2.68
3192,0.32,345,4.38,4.42,2.68
3193,0.32,345,4.38,4.42,2.68
3194,0.32,345,4.38,4.42,2.68
3195,0.32,345,4.38,4.42,2.68
3196,0.32,345,4.38,4.42,2.68
3197,0.32,345,4.38,4.42,2.68
3198,0.32,345,4.38,4.42,2.68
3199,0.32,345,4.38,4.42,2.68
3200,0.794011,4334.4395,5.501761,5.562135,3.385699
3201,0.3,348,4.31,4.34,2.68
3202,0.3,348,4.31,4.34,2.68
3203,0.3,348,4.31,4.34,2.68
3204,0.3,348,4.31,4.34,2.68
3205,0.3,348,4.31,4.34,2.68
3206,0.3,348,4.31,4.34,2.68
3207,0.3,348,4.31,4.34,2.68
3208,0.3,348,4.31,4.34,2.68
3209,0.3,348,4.31,4.34,2.68
3210,0.774011,4337.4395,5.431761,5.4821353,3.385699
3211,0.3,351,4.23,4.29,2.7
3212,0.3,351,4.23,4.29,2.7
3213,0.3,351,4.23,4.29,2.7
3214,0.3,351,4.23,4.29,2.7
3215,0.3,351,4.23,4.29,2.7
3216,0.3,351,4.23,4.29,2.7
3217,0.3,351,4.23,4.29,2.7
3218,0.3,351,4.23,4.29,2.7
3219,0.3,351,4.23,4.29,2.7
3220,0.774011,4340.4395,5.351761,5.432135,3.405699
3221,0.3,351,4.23,4.26,2.71
3222,0.3,351,4.23,4.26,2.71
3223,0.3,351,4.23,4.26,2.71
3224,0.3,351,4.23,4.26,2.71
3225,0.3,351,4.23,4.26,2.71
3226,0.3,351,4.23,4.26,2.71
3227,0.3,351,4.23,4.26,2.71
3228,0.3,351,4.23,4.26,2.71
3229,0.3,351,4.23,4.26,2.71
3230,0.774011,4340.4395,5.351761,5.4021354,3.415699
3231,0.3,351,4.21,4.27,2.66
3232,0.3,351,4.21,4.27,2.66
3233,0.3,351,4.21,4.27,2.66
3234,0.3,351,4.21,4.27,2.66
3235,0.3,351,4.21,4.27,2.66
3236,0.3,351,4.21,4.27,2.66
3237,0.3,351,4.21,4.27,2.66
3238,0.3,351,4.21,4.27,2.66
3239,0.3,351,4.21,4.27,2.66
3240,0.774011,4340.4395,5.331761,5.412135,3.365699
3241,0.3,351,4.26,4.3,2.71
3242,0.3,351,4.26,4.3,2.71
3243,0.3,351,4.26,4.3,2.71
3244,0.3,351,4.26,4.3,2.71
3245,0.3,351,4.26,4.3,2.71
3246,0.3,351,4.26,4.3,2.71
3247,0.3,351,4.26,4.3,2.71
3248,0.3,351,4.26,4.3,2.71
3249,0.3,351,4.26,4.3,2.71
3250,0.774011,4340.4395,5.381761,5.4421353,3.415699
3251,0.23,352,3.85,3.92,2.48
3252,0.23,352,3.85,3.92,2.48
3253,0.23,352,3.85,3.92,2.48
3254,0.23,352,3.85,3.92,2.48
3255,0.23,352,3.85,3.92,2.48
3256,0.23,352,3.85,3.92,2.48
3257,0.23,352,3.85,3.92,2.48
3258,0.23,352,3.85,3.92,2.48
3259,0.23,352,3.85,3.92,2.48
3260,0.704011,4341.4395,4.9717607,5.062135,3.185699
3261,0.23,353,3.94,3.96,2.41
3262,0.23,353,3.94,3.96,2.41
3263,0.23,353,3.94,3.96,2.41
3264,0.23,353,3.94,3.96,2.41
3265,0.23,353,3.94,3.96,2.41
3266,0.23,353,3.94,3.96,2.41
3267,0.23,353,3.94,3.96,2.41
3268,0.23,353,3.94,3.96,2.41
3269,0.23,353,3.94,3.96,2.41
3270,0.704011,4342.4395,5.061761,5.102135,3.115699
3271,0.31,353,4.39,4.43,2.62
3272,0.31,353,4.39,4.43,2.62
3273,0.31,353,4.39,4.43,2.62
3274,0.31,353,4.39,4.43,2.62
3275,0.31,353,4.39,4.43,2.62
3276,0.31,353,4.39,4.43,2.62
3277,0.31,353,4.39,4.43,2.62
3278,0.31,353,4.39,4.43,2.62
3279,0.31,353,4.39,4.43,2.62
3280,0.784011,4342.4395,5.5117607,5.572135,3.3256989
3281,0.31,353,4.44,4.47,2.59
3282,0.31,353,4.44,4.47,2.59
3283,0.31,353,4.44,4.47,2.59
3284,0.31,353,4.44,4.47,2.59
3285,0.31,353,4.44,4.47,2.59
3286,0.31,353,4.44,4.47,2.59
3287,0.31,353,4.44,4.47,2.59
3288,0.31,353,4.44,4.47,2.59
3289,0.31,353,4.44,4.47,2.59
3290,0.784011,4342.4395,5.561761,5.612135,3.295699
3291,0.23,354,3.97,4.01,2.41
3292,0.23,354,3.97,4.01,2.41
3293,0.23,354,3.97,4.01,2.41
3294,0.23,354,3.97,4.01,2.41
3295,0.23,354,3.97,4.01,2.41
3296,0.23,354,3.97,4.01,2.41
3297,0.23,354,3.97,4.01,2.41
3298,0.23,354,3.97,4.01,2.41
3299,0.23,354,3.97,4.01,2.41
3300,0.704011,4343.4395,5.091761,5.1521354,3.115699
3301,0.24,355,3.97,3.94,2.47
3302,0.24,355,3.97,3.94,2.47
3303,0.24,355,3.97,3.94,2.47
3304,0.24,355,3.97,3.94,2.47
3305,0.24,355,3.97,3.94,2.47
3306,0.24,355,3.97,3.94,2.47
3307,0.24,355,3.97,3.94,2.47
3308,0.24,355,3.97,3.94,2.47
3309,0.24,355,3.97,3.94,2.47
3310,0.714011,4344.4395,5.091761,5.082135,3.175699
3311,0.3,357,4.28,4.3,2.67
3312,0.3,357,4.28,4.3,2.67
3313,0.3,357,4.28,4.3,2.67
3314,0.3,357,4.28,4.3,2.67
3315,0.3,357,4.28,4.3,2.67
3316,0.3,357,4.28,4.3,2.67
3317,0.3,357,4.28,4.3,2.67
3318,0.3,357,4.28,4.3,2.67
3319,0.3,357,4.28,4.3,2.67
3320,0.774011,4346.4395,5.401761,5.4421353,3.375699
3321,0.23,357,3.96,3.97,2.4
3322,0.23,357,3.96,3.97,2.4
3323,0.23,357,3.96,3.97,2.4
3324,0.23,357,3.96,3.97,2.4
3325,0.23,357,3.96,3.97,2.4
3326,0.23,357,3.96,3.97,2.4
3327,0.23,357,3.96,3.97,2.4
3328,0.23,357,3.96,3.97,2.4
3329,0.23,357,3.96,3.97,2.4
3330,0.704011,4346.4395,5.081761,5.112135,3.105699
3331,0.23,357,3.96,3.99,2.42
3332,0.23,357,3.96,3.99,2.42
3333,0.23,357,3.96,3.99,2.42
3334,0.23,357,3.96,3.99,2.42
3335,0.23,357,3.96,3.99,2.42
3336,0.23,357,3.96,3.99,2.42
3337,0.23,357,3.96,3.99,2.42
3338,0.23,357,3.96,3.99,2.42
3339,0.23,357,3.96,3.99,2.42
3340,0.704011,4346.4395,5.081761,5.132135,3.125699
3341,0.23,402,4,4.03,2.41
3342,0.23,402,4,4.03,2.41
3343,0.23,402,4,4.03,2.41
3344,0.23,402,4,4.03,2.41
3345,0.23,402,4,4.03,2.41
3346,0.23,402,4,4.03,2.41
3347,0.23,402,4,4.03,2.41
3348,0.23,402,4,4.03,2.41
3349,0.23,402,4,4.03,2.41
3350,0.704011,4391.4395,5.121761,5.1721354,3.115699
3351,0.23,402,4.04,4.06,2.42
3352,0.23,402,4.04,4.06,2.42
3353,0.23,402,4.04,4.06,2.42
3354,0.23,402,4.04,4.06,2.42
3355,0.23,402,4.04,4.06,2.42
3356,0.23,402,4.04,4.06,2.42
3357,0.23,402,4.04,4.06,2.42
3358,0.23,402,4.04,4.06,2.42
3359,0.23,402,4.04,4.06,2.42
3360,0.704011,4391.4395,5.161761,5.202135,3.125699
3361,0.23,402,3.97,4.01,2.42
3362,0.23,402,3.97,4.01,2.42
3363,0.23,402,3.97,4.01,2.42
3364,0.23,402,3.97,4.01,2.42
3365,0.23,402,3.97,4.01,2.42
3366,0.23,402,3.97,4.01,2.42
3367,0.23,402,3.97,4.01,2.42
3368,0.23,402,3.97,4.01,2.42
3369,0.23,402,3.97,4.01,2.42
3370,0.704011,4391.4395,5.091761,5.1521354,3.125699
3371,0.23,402,4.01,4.06,2.4
3372,0.23,402,4.01,4.06,2.4
3373,0.23,402,4.01,4.06,2.4
3374,0.23,402,4.01,4.06,2.4
3375,0.23,402,4.01,4.06,2.4
3376,0.23,402,4.01,4.06,2.4
3377,0.23,402,4.01,4.06,2.4
3378,0.23,402,4.01,4.06,2.4
3379,0.23,402,4.01,4.06,2.4
3380,0.704011,4391.4395,5.131761,5.202135,3.105699
3381,0.23,402,3.92,3.96,2.44
3382,0.23,402,3.92,3.96,2.44
3383,0.23,402,3.92,3.96,2.44
3384,0.23,402,3.92,3.96,2.44
3385,0.23,402,3.92,3.96,2.44
3386,0.23,402,3.92,3.96,2.44
3387,0.23,402,3.92,3.96,2.44
3388,0.23,402,3.92,3.96,2.44
3389,0.23,402,3.92,3.96,2.44
3390,0.704011,4391.4395,5.041761,5.102135,3.145699
3391,0.23,402,4.06,4.08,2.37
3392,0.23,402,4.06,4.08,2.37
3393,0.23,402,4.06,4.08,2.37
3394,0.23,402,4.06,4.08,2.37
3395,0.23,402,4.06,4.08,2.37
3396,0.23,402,4.06,4.08,2.37
3397,0.23,402,4.06,4.08,2.37
3398,0.23,402,4.06,4.08,2.37
3399,0.23,402,4.06,4.08,2.37
3400,0.704011,4391.4395,5.181761,5.222135,3.0756989
3401,0.23,402,3.83,3.85,2.46
3402,0.23,402,3.83,3.85,2.46
3403,0.23,402,3.83,3.85,2.46
3404,0.23,402,3.83,3.85,2.46
3405,0.23,402,3.83,3.85,2.46
3406,0.23,402,3.83,3.85,2.46
3407,0.23,402,3.83,3.85,2.46
3408,0.23,402,3.83,3.85,2.46
3409,0.23,402,3.83,3.85,2.46
3410,0.704011,4391.4395,4.951761,4.992135,3.165699
3411,0.31,402,4.29,4.31,2.75
3412,0.31,402,4.29,4.31,2.75
3413,0.31,402,4.29,4.31,2.75
3414,0.31,402,4.29,4.31,2.75
3415,0.31,402,4.29,4.31,2.75
3416,0.31,402,4.29,4.31,2.75
3417,0.31,402,4.29,4.31,2.75
3418,0.31,402,4.29,4.31,2.75
3419,0.31,402,4.29,4.31,2.75
3420,0.784011,4391.4395,5.411761,5.452135,3.455699
3421,0.26,403,4.13,4.16,2.52
3422,0.26,403,4.13,4.16,2.52
3423,0.26,403,4.13,4.16,2.52
3424,0.26,403,4.13,4.16,2.52
3425,0.26,403,4.13,4.16,2.52
3426,0.26,403,4.13,4.16,2.52
3427,0.26,403,4.13,4.16,2.52
3428,0.26,403,4.13,4.16,2.52
3429,0.26,403,4.13,4.16,2.52
3430,0.734011,4392.4395,5.251761,5.302135,3.225699
3431,0.33,403,4.49,4.51,2.78
3432,0.33,403,4.49,4.51,2.78
3433,0.33,403,4.49,4.51,2.78
3434,0.33,403,4.49,4.51,2.78
3435,0.33,403,4.49,4.51,2.78
3436,0.33,403,4.49,4.51,2.78
3437,0.33,403,4.49,4.51,2.78
3438,0.33,403,4.49,4.51,2.78
3439,0.33,403,4.49,4.51,2.78
3440,0.804011,4392.4395,5.6117606,5.6521354,3.485699
3441,0.33,403,4.49,4.5,2.75
3442,0.33,403,4.49,4.5,2.75
3443,0.33,403,4.49,4.5,2.75
3444,0.33,403,4.49,4.5,2.75
3445,0.33,403,4.49,4.5,2.75
3446,0.33,403,4.49,4.5,2.75
3447,0.33,403,4.49,4.5,2.75
3448,0.33,403,4.49,4.5,2.75
3449,0.33,403,4.49,4.5,2.75
3450,0.804011,4392.4395,5.6117606,5.642135,3.455699
3451,0.33,403,4.49,4.55,2.76
3452,0.33,403,4.49,4.55,2.76
3453,0.33,403,4.49,4.55,2.76
3454,0.33,403,4.49,4.55,2.76
3455,0.33,403,4.49,4.55,2.76
3456,0.33,403,4.49,4.55,2.76
3457,0.33,403,4.49,4.55,2.76
3458,0.33,403,4.49,4.55,2.76
3459,0.33,403,4.49,4.55,2.76
3460,0.804011,4392.4395,5.6117606,5.6921353,3.465699
3461,0.26,403,3.99,4.02,2.61
3462,0.26,403,3.99,4.02,2.61
3463,0.26,403,3.99,4.02,2.61
3464,0.26,403,3.99,4.02,2.61
3465,0.26,403,3.99,4.02,2.61
3466,0.26,403,3.99,4.02,2.61
3467,0.26,403,3.99,4.02,2.61
3468,0.26,403,3.99,4.02,2.61
3469,0.26,403,3.99,4.02,2.61
3470,0.734011,4392.4395,5.111761,5.162135,3.3156989
3471,0.26,403,4.19,4.24,2.46
3472,0.26,403,4.19,4.24,2.46
3473,0.26,403,4.19,4.24,2.46
3474,0.26,403,4.19,4.24,2.46
3475,0.26,403,4.19,4.24,2.46
3476,0.26,403,4.19,4.24,2.46
3477,0.26,403,4.19,4.24,2.46
3478,0.26,403,4.19,4.24,2.46
3479,0.26,403,4.19,4.24,2.46
3480,0.734011,4392.4395,5.311761,5.382135,3.165699
3481,0.32,403,4.34,4.37,2.75
3482,0.32,403,4.34,4.37,2.75
3483,0.32,403,4.34,4.37,2.75
3484,0.32,403,4.34,4.37,2.75
3485,0.32,403,4.34,4.37,2.75
3486,0.32,403,4.34,4.37,2.75
3487,0.32,403,4.34,4.37,2.75
3488,0.32,403,4.34,4.37,2.75
3489,0.32,403,4.34,4.37,2.75
3490,0.794011,4392.4395,5.461761,5.512135,3.455699
3491,0.29,403,4.24,4.26,2.65
3492,0.29,403,4.24,4.26,2.65
3493,0.29,403,4.24,4.26,2.65
3494,0.29,403,4.24,4.26,2.65
3495,0.29,403,4.24,4.26,2.65
3496,0.29,403,4.24,4.26,2.65
3497,0.29,403,4.24,4.26,2.65
3498,0.29,403,4.24,4.26,2.65
3499,0.29,403,4.24,4.26,2.65
3500,0.764011,4392.4395,5.3617606,5.4021354,3.355699
3501,0.32,403,4.35,4.42,2.71
3502,0.32,403,4.35,4.42,2.71
3503,0.32,403,4.35,4.42,2.71
3504,0.32,403,4.35,4.42,2.71
3505,0.32,403,4.35,4.42,2.71
3506,0.32,403,4.35,4.42,2.71
3507,0.32,403,4.35,4.42,2.71
3508,0.32,403,4.35,4.42,2.71
3509,0.32,403,4.35,4.42,2.71
3510,0.794011,4392.4395,5.4717607,5.562135,3.415699
3511,0.32,403,4.36,4.38,2.79
3512,0.32,403,4.36,4.38,2.79
3513,0.32,403,4.36,4.38,2.79
3514,0.32,403,4.36,4.38,2.79
3515,0.32,403,4.36,4.38,2.79
3516,0.32,403,4.36,4.38,2.79
3517,0.32,403,4.36,4.38,2.79
3518,0.32,403,4.36,4.38,2.79
3519,0.32,403,4.36,4.38,2.79
3520,0.794011,4392.4395,5.481761,5.5221353,3.495699
3521,0.25,404,4,4.03,2.54
3522,0.25,404,4,4.03,2.54
3523,0.25,404,4,4.03,2.54
3524,0.25,404,4,4.03,2.54
3525,0.25,404,4,4.03,2.54
3526,0.25,404,4,4.03,2.54
3527,0.25,404,4,4.03,2.54
3528,0.25,404,4,4.03,2.54
3529,0.25,404,4,4.03,2.54
3530,0.724011,4393.4395,5.121761,5.1721354,3.245699
3531,0.29,404,4.33,4.37,2.64
3532,0.29,404,4.33,4.37,2.64
3533,0.29,404,4.33,4.37,2.64
3534,0.29,404,4.33,4.37,2.64
3535,0.29,404,4.33,4.37,2.64
3536,0.29,404,4.33,4.37,2.64
3537,0.29,404,4.33,4.37,2.64
3538,0.29,404,4.33,4.37,2.64
3539,0.29,404,4.33,4.37,2.64
3540,0.764011,4393.4395,5.451761,5.512135,3.345699
3541,0.24,404,4.02,4.03,2.45
3542,0.24,404,4.02,4.03,2.45
3543,0.24,404,4.02,4.03,2.45
3544,0.24,404,4.02,4.03,2.45
3545,0.24,404,4.02,4.03,2.45
3546,0.24,404,4.02,4.03,2.45
3547,0.24,404,4.02,4.03,2.45
3548,0.24,404,4.02,4.03,2.45
3549,0.24,404,4.02,4.03,2.45
3550,0.714011,4393.4395,5.141761,5.1721354,3.155699
3551,0.23,404,3.93,3.95,2.44
3552,0.23,404,3.93,3.95,2.44
3553,0.23,404,3.93,3.95,2.44
3554,0.23,404,3.93,3.95,2.44
3555,0.23,404,3.93,3.95,2.44
3556,0.23,404,3.93,3.95,2.44
3557,0.23,404,3.93,3.95,2.44
3558,0.23,404,3.93,3.95,2.44
3559,0.23,404,3.93,3.95,2.44
3560,0.704011,4393.4395,5.051761,5.092135,3.145699
3561,0.32,404,4.45,4.48,2.72
3562,0.32,404,4.45,4.48,2.72
3563,0.32,404,4.45,4.48,2.72
3564,0.32,404,4.45,4.48,2.72
3565,0.32,404,4.45,4.48,2.72
3566,0.32,404,4.45,4.48,2.72
3567,0.32,404,4.45,4.48,2.72
3568,0.32,404,4.45,4.48,2.72
3569,0.32,404,4.45,4.48,2.72
3570,0.794011,4393.4395,5.5717607,5.622135,3.425699
3571,0.22,404,3.93,3.89,2.41
3572,0.22,404,3.93,3.89,2.41
3573,0.22,404,3.93,3.89,2.41
3574,0.22,404,3.93,3.89,2.41
3575,0.22,404,3.93,3.89,2.41
3576,0.22,404,3.93,3.89,2.41
3577,0.22,404,3.93,3.89,2.41
3578,0.22,404,3.93,3.89,2.41
3579,0.22,404,3.93,3.89,2.41
3580,0.694011,4393.4395,5.051761,5.032135,3.115699
3581,0.22,404,3.91,3.88,2.31
3582,0.22,404,3.91,3.88,2.31
3583,0.22,404,3.91,3.88,2.31
3584,0.22,404,3.91,3.88,2.31
3585,0.22,404,3.91,3.88,2.31
3586,0.22,404,3.91,3.88,2.31
3587,0.22,404,3.91,3.88,2.31
3588,0.22,404,3.91,3.88,2.31
3589,0.22,404,3.91,3.88,2.31
3590,0.694011,4393.4395,5.031761,5.0221353,3.015699
3591,0.3,405,4.3,4.33,2.63
3592,0.3,405,4.3,4.33,2.63
3593,0.3,405,4.3,4.33,2.63
3594,0.3,405,4.3,4.33,2.63
3595,0.3,405,4.3,4.33,2.63
3596,0.3,405,4.3,4.33,2.63
3597,0.3,405,4.3,4.33,2.63
3598,0.3,405,4.3,4.33,2.63
3599,0.3,405,4.3,4.33,2.63
3600,0.774011,4394.4395,5.421761,5.472135,3.335699
3601,0.3,405,4.43,4.38,2.61
3602,0.3,405,4.43,4.38,2.61
3603,0.3,405,4.43,4.38,2.61
3604,0.3,405,4.43,4.38,2.61
3605,0.3,405,4.43,4.38,2.61
3606,0.3,405,4.43,4.38,2.61
3607,0.3,405,4.43,4.38,2.61
3608,0.3,405,4.43,4.38,2.61
3609,0.3,405,4.43,4.38,2.61
3610,0.774011,4394.4395,5.5517607,5.5221353,3.3156989
3611,0.3,405,4.25,4.28,2.67
3612,0.3,405,4.25,4.28,2.67
3613,0.3,405,4.25,4.28,2.67
3614,0.3,405,4.25,4.28,2.67
3615,0.3,405,4.25,4.28,2.67
3616,0.3,405,4.25,4.28,2.67
3617,0.3,405,4.25,4.28,2.67
3618,0.3,405,4.25,4.28,2.67
3619,0.3,405,4.25,4.28,2.67
3620,0.774011,4394.4395,5.371761,5.4221354,3.375699
3621,0.3,405,4.28,4.32,2.71
3622,0.3,405,4.28,4.32,2.71
3623,0.3,405,4.28,4.32,2.71
3624,0.3,405,4.28,4.32,2.71
3625,0.3,405,4.28,4.32,2.71
3626,0.3,405,4.28,4.32,2.71
3627,0.3,405,4.28,4.32,2.71
3628,0.3,405,4.28,4.32,2.71
3629,0.3,405,4.28,4.32,2.71
3630,0.774011,4394.4395,5.401761,5.4621353,3.415699
3631,0.3,405,4.25,4.29,2.7
3632,0.3,405,4.25,4.29,2.7
3633,0.3,405,4.25,4.29,2.7
3634,0.3,405,4.25,4.29,2.7
3635,0.3,405,4.25,4.29,2.7
3636,0.3,405,4.25,4.29,2.7
3637,0.3,405,4.25,4.29,2.7
3638,0.3,405,4.25,4.29,2.7
3639,0.3,405,4.25,4.29,2.7
3640,0.774011,4394.4395,5.371761,5.432135,3.405699
3641,0.35,552,4.54,4.59,2.78
3642,0.35,552,4.54,4.59,2.78
3643,0.35,552,4.54,4.59,2.78
3644,0.35,552,4.54,4.59,2.78
3645,0.35,552,4.54,4.59,2.78
3646,0.35,552,4.54,4.59,2.78
3647,0.35,552,4.54,4.59,2.78
3648,0.35,552,4.54,4.59,2.78
3649,0.35,552,4.54,4.59,2.78
3650,0.82401097,4541.4395,5.661761,5.7321353,3.485699
3651,0.3,552,4.23,4.27,2.66
3652,0.3,552,4.23,4.27,2.66
3653,0.3,552,4.23,4.27,2.66
3654,0.3,552,4.23,4.27,2.66
3655,0.3,552,4.23,4.27,2.66
3656,0.3,552,4.23,4.27,2.66
3657,0.3,552,4.23,4.27,2.66
3658,0.3,552,4.23,4.27,2.66
3659,0.3,552,4.23,4.27,2.66
3660,0.774011,4541.4395,5.351761,5.412135,3.365699
3661,0.3,552,4.29,4.32,2.69
3662,0.3,552,4.29,4.32,2.69
3663,0.3,552,4.29,4.32,2.69
3664,0.3,552,4.29,4.32,2.69
3665,0.3,552,4.29,4.32,2.69
3666,0.3,552,4.29,4.32,2.69
3667,0.3,552,4.29,4.32,2.69
3668,0.3,552,4.29,4.32,2.69
3669,0.3,552,4.29,4.32,2.69
3670,0.774011,4541.4395,5.411761,5.4621353,3.395699
3671,0.3,552,4.3,4.33,2.68
3672,0.3,552,4.3,4.33,2.68
3673,0.3,552,4.3,4.33,2.68
3674,0.3,552,4.3,4.33,2.68
3675,0.3,552,4.3,4.33,2.68
3676,0.3,552,4.3,4.33,2.68
3677,0.3,552,4.3,4.33,2.68
3678,0.3,552,4.3,4.33,2.68
3679,0.3,552,4.3,4.33,2.68
3680,0.774011,4541.4395,5.421761,5.472135,3.385699
3681,0.42,552,4.78,4.84,2.96
